Sample proton lifetime predictions (in years):
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 2.717e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 2.539e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 2.755e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 2.556e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 2.377e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 2.608e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 2.408e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 2.231e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 1.809e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 1.697e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 1.596e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 1.719e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 1.606e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 1.503e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.400 => tau_p: 1.635e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.450 => tau_p: 1.521e+37 years
M_XY: 5.00e+15 GeV, M_T: 5.05e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.500 => tau_p: 1.419e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 7.071e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 6.775e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 6.497e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 6.833e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 6.524e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 6.236e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 6.606e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 6.287e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 5.991e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 4.102e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 3.949e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 3.805e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.400 => tau_p: 3.979e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.450 => tau_p: 3.819e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.550, y_d: 0.500 => tau_p: 3.669e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.400 => tau_p: 3.862e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.450 => tau_p: 3.696e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.700, y_u: 0.600, y_d: 0.500 => tau_p: 3.540e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.400 => tau_p: 2.458e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.450 => tau_p: 2.376e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.500, y_d: 0.500 => tau_p: 2.299e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.400 => tau_p: 2.392e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.450 => tau_p: 2.307e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.550, y_d: 0.500 => tau_p: 2.225e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.400 => tau_p: 2.329e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.450 => tau_p: 2.240e+37 years
M_XY: 5.00e+15 GeV, M_T: 7.52e+15 GeV, g5: 0.750, y_u: 0.600, y_d: 0.500 => tau_p: 2.155e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.500, y_d: 0.400 => tau_p: 8.264e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.500, y_d: 0.450 => tau_p: 8.050e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.500, y_d: 0.500 => tau_p: 7.843e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.550, y_d: 0.400 => tau_p: 8.092e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.550, y_d: 0.450 => tau_p: 7.864e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.550, y_d: 0.500 => tau_p: 7.645e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.600, y_d: 0.400 => tau_p: 7.925e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.600, y_d: 0.450 => tau_p: 7.684e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.650, y_u: 0.600, y_d: 0.500 => tau_p: 7.454e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.500, y_d: 0.400 => tau_p: 4.704e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.500, y_d: 0.450 => tau_p: 4.597e+37 years
M_XY: 5.00e+15 GeV, M_T: 1.00e+16 GeV, g5: 0.700, y_u: 0.500, y_d: 0.500 => tau_p: 4.493e+37 years
